Product Name,serving_size,calories,sat_fat,sodium,carbohydrates ,sugar,fiber,protein,whole_grain,ca_Fe_K_at_20_percent,gluten_free,organic,tag,upc,food_type
Barbar's Fig Bar Raspberry,38,120,0,50,27,16,2,1,8,no,no,no,no,O7061710151,COOKIES
Barbar's Fig Bar Whole Wheat,38,110,0,50,26,15,2,1,8,no,no,no,"whole grain, less saturated fat",o7061710150,COOKIES
Fiber One Soft Baked Oatmeal ,31,120,0,95,22,8,5,1,no,,no,no,dietitians choice,o1600048035,COOKIES
Kashi Oatmeal Raisin Flax,30g,120,0,70,20,7,4,2,12,no,no,no,no,O1862762003,COOKIES
Nabisco Belvita Mixed Berry,50g,230,0.5,135,37,12,4,3,20,no,no,no,no,O4400003334,COOKIES
Nabisco Whole Grain Fig Newton,29g,110,0,95,22,12,2,1,9,no,no,no,no,O4400004062,COOKIES
Nabisco Whole Grain Newton Blueberry,29g,100,0,100,21,12,3,<1,7,no,no,no,no,O4400003727,COOKIES
Nabisco Whole Grain Newton Triple Berry,29,100,0,100,21,11,3,<1,7,no,no,no,no,O4400003020,COOKIES
Nature's Bakery Fig Bar Apple Cinnamon,28,110,0,35,20,10,2,2,n/a,no,no,no,no,O4749521000,COOKIES
Nature's Bakery Blueberry Brownie,28,90,0,45,17,9,2,2,8,no,no,no,no,,COOKIES
Nature's Bakery Fig Bar Blueberry,28,110,0,35,20,10,2,2,n/a,no,no,no,no,O4749521001,COOKIES
Nature's Bakery Chocolate Brownie,28,90,0,45,18,9,2,2,8,no,no,no,no,,COOKIES
Nature's Bakery Fig Bar Lemon,28,110,0,35,20,10,2,2,n/a,no,no,no,no,,COOKIES
Nature's Bakery Fig Bar Raspberry,28,110,0,35,20,10,2,2,n/a,no,no,no,no,O4749521004,COOKIES
Nature's Bakery Raspberry Brownie,28,90,0,45,17,9,2,2,8,no,no,no,no,,COOKIES
nature's Bakery Fig Bar Strawberry,28,110,0,35,20,10,2,2,n/a,no,no,no,no,,COOKIES
Betty Crocker Authentic Cornbread Muffin Mix,c/o,,,,,,,,,,,,,,CORNBREAD
Gladiola Sweet Yellow Cornbread ,33,130,0,250,25,8,<1,2,N/a,no,No,no,no,1330057334,CORNBREAD
Kraft Stovetop Stuffing Mix Chicken-Low Sodium,28,110,0,250,21,2,<1,4,N/a,no,No,no,Less Salt,4300028589,CORNBREAD
Fleishman's Simply Homemade Cornbread,27,100,0,240,21,8,0,1,N/a,no,No,no,None,4010000067,CORNBREAD
Martha White Sweet Yellow Cornbread,33,130,0,250,25,8,<1,2,N/a,no,no,no,Less Salt/Sat Fat,1330051305,CORNBREAD
Pamela's Cornbread Muffin Mix,21,80,0,150,19,0,1,0,,,yes,no,less saturated fat,o9370930110,CORNBREAD
Fantastic Organic Whole Wheat Couscous,c/o,,,,,,,,,,,,,,COUSCOUS
Gefen (ethnic isle) Whole Wheat Israel Couscous,c/o,,,,,,,,,,,,,,COUSCOUS
Near East Whole grain whole wheat couscous,56,190,0,510,37,1,3,7,40,no,no,no,no,o7225153021,COUSCOUS
AK Mak Sesame ,28.35,110,0,223,20,0,4,5,n/a,no,no,no,salt/sat fat,71105000011,CRACKERS
Crunch Master Original,30,140,0.5,95,20,0,2,3,19,no,yes,no,,87989000007,CRACKERS
Crunch Mster Rosemary and Olive Oil,30,140,0.5,90,21,0,2,3,19,no,yes,no,,87989000004,CRACKERS
Rye Krisp Seasoned,c/o,,,,,,,,,,,,,,CRACKERS
